r,coverage_ratio,ecdf
5,0.9804948025,0.8268551237
5,0.9835969418,0.8303886926
5,0.9844958197,0.8339222615
5,0.989539251,0.8374558304
5,1,0.8409893993
5,1,0.8445229682
5,1,0.8480565371
5,1,0.851590106
5,1,0.8551236749
5,1,0.8586572438
5,1,0.8621908127
5,1,0.8657243816
5,1,0.8692579505
5,1,0.8727915194
5,1,0.8763250883
5,1,0.8798586572
5,1,0.8833922261
5,1,0.8869257951
5,1,0.890459364
5,1,0.8939929329
5,1,0.8975265018
5,1,0.9010600707
5,1,0.9045936396
5,1,0.9081272085
5,1,0.9116607774
5,1,0.9151943463
5,1,0.9187279152
5,1,0.9222614841
5,1,0.925795053
5,1,0.9293286219
5,1,0.9328621908
5,1,0.9363957597
5,1,0.9399293286
5,1,0.9434628975
5,1,0.9469964664
5,1,0.9505300353
5,1,0.9540636042
5,1,0.9575971731
5,1,0.961130742
5,1,0.964664311
5,1,0.9681978799
5,1,0.9717314488
5,1,0.9752650177
5,1,0.9787985866
5,1,0.9823321555
5,1,0.9858657244
5,1,0.9893992933
5,1,0.9929328622
5,1,0.9964664311
5,1,1
10,0,0.003533568905
10,0,0.007067137809
10,0,0.01060070671
10,0,0.01413427562
10,0,0.01766784452
10,0,0.02120141343
10,0,0.02473498233
10,0,0.02826855124
10,0,0.03180212014
10,0,0.03533568905
10,0,0.03886925795
10,0,0.04240282686
10,0,0.04593639576
10,0,0.04946996466
10,0,0.05300353357
10,0,0.05653710247
10,0,0.06007067138
10,0,0.06360424028
10,0,0.06713780919
10,0,0.07067137809
10,0,0.074204947
10,0,0.0777385159
10,0,0.08127208481
10,0,0.08480565371
10,0,0.08833922261
10,0,0.09187279152
10,0,0.09540636042
10,0,0.09893992933
10,0,0.1024734982
10,0,0.1060070671
10,0,0.109540636
10,0,0.1130742049
10,0,0.1166077739
10,0,0.1201413428
10,0,0.1236749117
10,0,0.1272084806
10,0,0.1307420495
10,0,0.1342756184
10,0,0.1378091873
10,0,0.1413427562
10,0,0.1448763251
10,0,0.148409894
10,0.0001045186123,0.1519434629
10,0.02483445133,0.1554770318
10,0.0421769576,0.1590106007
10,0.08745518941,0.1625441696
10,0.1018913415,0.1660777385
10,0.1084676604,0.1696113074
10,0.1386157375,0.1731448763
10,0.1459244723,0.1766784452
10,0.227211242,0.1802120141
10,0.2354128689,0.183745583
10,0.2852335149,0.1872791519
10,0.285950389,0.1908127208
10,0.2952303741,0.1943462898
10,0.3019769912,0.1978798587
10,0.3226670244,0.2014134276
10,0.3326796802,0.2049469965
10,0.3440527836,0.2084805654
10,0.3459438627,0.2120141343
10,0.3492851158,0.2155477032
10,0.3565005756,0.2190812721
10,0.3741127959,0.222614841
10,0.3871385086,0.2261484099
10,0.3885794486,0.2296819788
