ecdf の SUM,r,,,,,,,,
coverage_ratio,5,10,15,20,25,35,45,50,総計
0.3453732461,0.4558303887,,,,,,,,0.4558303887
0.3459438627,,0.2120141343,,,,,,,0.2120141343
0.3492851158,,0.2155477032,,,,,,,0.2155477032
0.355018526,0.4593639576,,,,,,,,0.4593639576
0.3565005756,,0.2190812721,,,,,,,0.2190812721
0.3619028396,0.4628975265,,,,,,,,0.4628975265
0.3626340194,,,,,,0.01060070671,,,0.01060070671
0.3629384823,0.4664310954,,,,,,,,0.4664310954
0.3728761386,0.4699646643,,,,,,,,0.4699646643
0.373540897,,,,0.08480565371,,,,,0.08480565371
0.3741127959,,0.222614841,,,,,,,0.222614841
0.3764937975,0.4734982332,,,,,,,,0.4734982332
0.3765395359,0.4770318021,,,,,,,,0.4770318021
0.3788491599,0.480565371,,,,,,,,0.480565371
0.3816052471,,,0.1272084806,,,,,,0.1272084806
0.3845834005,0.4840989399,,,,,,,,0.4840989399
0.3852987161,,,,0.08833922261,,,,,0.08833922261
0.3871385086,,0.2261484099,,,,,,,0.2261484099
0.3885794486,,0.2296819788,,,,,,,0.2296819788
0.3907099701,0.4876325088,,,,,,,,0.4876325088
0.3928767498,0.4911660777,,,,,,,,0.4911660777
0.4000277996,,0.2332155477,,,,,,,0.2332155477
0.4143696399,,,,0.09187279152,,,,,0.09187279152
0.4153693404,0.4946996466,,,,,,,,0.4946996466
0.4154325571,,,0.1307420495,,,,,,0.1307420495
0.4195302954,0.4982332155,,,,,,,,0.4982332155
0.423694243,0.5017667845,,,,,,,,0.5017667845
0.4237282573,0.5053003534,,,,,,,,0.5053003534
0.4241083495,,,0.1342756184,,,,,,0.1342756184
0.426212594,0.5088339223,,,,,,,,0.5088339223
0.435352675,0.5123674912,,,,,,,,0.5123674912
0.4362019227,0.5159010601,,,,,,,,0.5159010601
0.4370904033,0.519434629,,,,,,,,0.519434629
0.4424114249,,0.2367491166,,,,,,,0.2367491166
0.4455858607,0.5229681979,,,,,,,,0.5229681979
0.447381689,,,,,0.03180212014,,,,0.03180212014
0.4523708828,0.5265017668,,,,,,,,0.5265017668
0.4566019755,0.5300353357,,,,,,,,0.5300353357
0.4572966912,,0.2402826855,,,,,,,0.2402826855
0.4586714804,,,,,,,0.003533568905,,0.003533568905
0.4625680669,,,,,0.03533568905,,,,0.03533568905
0.4647915705,0.5335689046,,,,,,,,0.5335689046
0.4717565416,0.5371024735,,,,,,,,0.5371024735
